Module	Section	Sample Name	Source
FastQC	all_sections	Pcorr282_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr282_BL_1_fastqc.zip
FastQC	all_sections	Pcorr282_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr282_BL_2_fastqc.zip
FastQC	all_sections	Pcorr282_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr282_ant_1_fastqc.zip
FastQC	all_sections	Pcorr282_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr282_ant_2_fastqc.zip
FastQC	all_sections	Pcorr283_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr283_BL_1_fastqc.zip
FastQC	all_sections	Pcorr283_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr283_BL_2_fastqc.zip
FastQC	all_sections	Pcorr283_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr283_ant_1_fastqc.zip
FastQC	all_sections	Pcorr283_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr283_ant_2_fastqc.zip
FastQC	all_sections	Pcorr284_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr284_BL_1_fastqc.zip
FastQC	all_sections	Pcorr284_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr284_BL_2_fastqc.zip
FastQC	all_sections	Pcorr284_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr284_ant_1_fastqc.zip
FastQC	all_sections	Pcorr284_ant_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr284_ant_2_fastqc.zip
FastQC	all_sections	Pcorr299_BL_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr299_BL_1_fastqc.zip
FastQC	all_sections	Pcorr299_BL_2	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr299_BL_2_fastqc.zip
FastQC	all_sections	Pcorr299_ant_1	/home/vos001/Fall_2021/L.atra_samples/usftp21.novogene.com/raw_data/Fastqc_results/Pcorr299_ant_1_fastqc.zip
